C,PO041122568350,7SAN,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590964,Non Duty Free
C,PO041122568350,8VWN,SSC-750,5,60,0,0.00,0,0.00,TPN051122590963,Non Duty Free
C,PO041122568350,8VWN,ZINFR-750,5,60,0,0.00,0,0.00,TPN051122590963,Non Duty Free
C,PO041122568350,7VKM,SSC-750,3,36,0,0.00,0,0.00,TPN051122590962,Non Duty Free
C,PO041122568350,7VKM,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590962,Non Duty Free
C,PO041122568350,7NRN,SSC-750,3,36,0,0.00,0,0.00,TPN051122590961,Non Duty Free
C,PO041122568350,7NRN,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590961,Non Duty Free
C,PO041122568350,7LUM,SSC-750,3,36,0,0.00,0,0.00,TPN051122590960,Non Duty Free
C,PO041122568350,7LUM,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590960,Non Duty Free
C,PO041122568350,8NPR,SSC-750,2,24,0,0.00,0,0.00,TPN051122590959,Non Duty Free
C,PO041122568350,8NPR,ZINFR-750,2,24,0,0.00,0,0.00,TPN051122590959,Non Duty Free
C,PO041122568350,7SKB,ZINFR-750,2,24,0,0.00,0,0.00,TPN051122590958,Non Duty Free
C,PO041122568350,7SKB,SSC-750,2,24,0,0.00,0,0.00,TPN051122590958,Non Duty Free
C,PO041122568350,CV721,SSC-750,15,180,0,0.00,0,0.00,TPN051122590957,Non Duty Free
C,PO041122568350,CV721,ZINFR-750,15,180,0,0.00,0,0.00,TPN051122590957,Non Duty Free
C,PO041122568350,8MDR,SSC-750,5,60,0,0.00,0,0.00,TPN051122590956,Non Duty Free
C,PO041122568350,8MDR,ZINFR-750,5,60,0,0.00,0,0.00,TPN051122590956,Non Duty Free
C,PO041122568350,7SMR,SSC-750,3,36,0,0.00,0,0.00,TPN051122590955,Non Duty Free
C,PO041122568350,7SMR,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590955,Non Duty Free
C,PO041122568350,7KMN,SSC-750,8,96,0,0.00,0,0.00,TPN051122590954,Non Duty Free
C,PO041122568350,7KMN,ZINFR-750,8,96,0,0.00,0,0.00,TPN051122590954,Non Duty Free
C,PO041122568350,7SCKN,SSC-750,2,24,0,0.00,0,0.00,TPN051122590953,Non Duty Free
C,PO041122568350,7SCKN,ZINFR-750,2,24,0,0.00,0,0.00,TPN051122590953,Non Duty Free
C,PO041122568350,7INA,ZINFR-750,5,60,0,0.00,0,0.00,TPN051122590952,Non Duty Free
C,PO041122568350,7INA,SSC-750,5,60,0,0.00,0,0.00,TPN051122590952,Non Duty Free
C,PO041122568350,CV681,ZINFR-750,3,36,0,0.00,0,0.00,TPN051122590951,Non Duty Free
C,PO041122568350,CV681,SSC-750,3,36,0,0.00,0,0.00,TPN051122590951,Non Duty Free
C,PO041122568350,CV684,SSC-750,2,24,0,0.00,0,0.00,TPN051122590950,Non Duty Free
C,PO041122568350,7NND,ZINFR-750,2,24,0,0.00,0,0.00,TPN051122590971,Non Duty Free
C,PO041122568350,7NND,SSC-750,2,24,0,0.00,0,0.00,TPN051122590971,Non Duty Free
C,PO041122568350,7NDP,SSC-750,2,24,0,0.00,0,0.00,TPN051122590970,Non Duty Free
C,PO041122568350,7NDP,ZINFR-750,2,24,0,0.00,0,0.00,TPN051122590970,Non Duty Free
C,PO041122568350,7PSV,SSC-750,5,60,0,0.00,0,0.00,TPN051122590969,Non Duty Free
C,PO041122568353,RT04965,SSC-750,2,24,0,2023.68,0,2023.68,TPN051122590980,Non Duty Free
C,PO041122568353,RT04965,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590980,Non Duty Free
C,PO041122568353,RT04965,SSNVT-750,2,24,0,2377.92,0,2377.92,TPN051122590980,Non Duty Free
C,PO041122568353,RT04965,SVNSB-750,1,12,0,1159.44,0,1159.44,TPN051122590980,Non Duty Free
C,PO041122568449,RT05125,SSNVT-750,2,24,0,2377.92,0,2377.92,TPN051122590981,Non Duty Free
C,PO041122568449,RT05125,SVNSB-750,1,12,0,1159.44,0,1159.44,TPN051122590981,Non Duty Free
C,PO041122568449,RT05125,SVNCB-750,1,12,0,1115.28,0,1115.28,TPN051122590981,Non Duty Free
C,PO041122568449,RT05125,SSC-750,2,24,0,2023.68,0,2023.68,TPN051122590981,Non Duty Free
C,PO041122568449,RT05125,SDSOA-750A,1,6,0,845.70,0,845.70,TPN051122590981,Non Duty Free
C,PO041122568453,RT05947,SSC-750,1,12,0,1011.84,0,1011.84,TPN051122590982,Non Duty Free
C,PO041122568453,RT05947,SDSOA-750A,6,36,0,5074.20,0,5074.20,TPN051122590982,Non Duty Free
